filename,folder,type,width,height,bytes
"7-Jun 02 2025 03_11pm-W6Ht.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,903896
"33-Jun 03 2025 09_06am-WYDJ.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1920,1440,1004239
"17-Jun 03 2025 09_04am-S32d.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1920,1440,1064630
"32-Jun 03 2025 09_06am-Zsne.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1920,1440,880062
"7-Jun 02 2025 03_11pm-tGtT.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,903896
"6-Jun 02 2025 03_11pm-cw93.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,937912
"22-Jun 03 2025 09_05am-WGDz.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1920,1440,658890
"50-Jun 23 2025 04_48pm-LKww.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,523221
"10-Jun 02 2025 03_12pm-dH3u.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,828833
"10-Jun 02 2025 03_12pm-TaSd.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,828833
"12-Jun 02 2025 03_12pm-Y6Ca.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,815521
"26-Jun 03 2025 09_06am-oZNy.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,687884
"31-Jun 03 2025 09_06am-9N9x.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1920,1440,812964
"24-Jun 03 2025 09_05am-YdKp.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,696367
"23-Jun 03 2025 09_05am-JKPW.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,715842
"36-Jun 10 2025 11_41am-HrE4.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,732543
"28-Jun 03 2025 09_06am-JFV2.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1920,1440,779489
"13-Jun 02 2025 03_12pm-SyJM.jpg","Cardinal/2025/Jack in the Box _ Haltom City",jpg,1440,1920,488695
